id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_cd
8503280,Brooklyn,40.70145,-73.93798,Private room,45,30,1,0.01,1,0,98.0
8504231,Manhattan,40.80116,-73.96537,Private room,109,30,7,0.08,1,0,133.0
8504666,Brooklyn,40.68393,-73.91919,Entire home/apt,200,3,100,1.11,1,362,81.0
8612715,Queens,40.76302,-73.92144,Private room,70,30,1,0.01,2,0,223.0
8614125,Manhattan,40.77988,-73.98103,Entire home/apt,275,30,0,0.0,1,0,124.0
8663101,Manhattan,40.79406,-73.97463,Private room,100,30,100,1.13,1,0,124.0
8614204,Brooklyn,40.66165,-73.95659,Entire home/apt,79,2,106,1.28,3,318,57.0
8614862,Manhattan,40.84957,-73.93959,Private room,40,30,6,0.07,1,0,129.0
8615333,Brooklyn,40.71103,-73.95025,Entire home/apt,190,30,0,0.0,1,0,98.0
8663831,Queens,40.7579,-73.9303,Private room,150,30,1,0.01,1,0,318.0
8505892,Manhattan,40.72027,-73.98565,Entire home/apt,275,30,0,0.0,1,0,156.0
8506757,Brooklyn,40.69484,-73.99689,Entire home/apt,140,30,113,1.25,1,1,45.0
8506867,Manhattan,40.77795,-73.9811,Entire home/apt,220,30,2,0.02,1,0,124.0
8664611,Staten Island,40.62872,-74.12154,Entire home/apt,86,3,228,2.52,1,312,370.0
8507219,Queens,40.76254,-73.92297,Private room,80,30,30,0.33,2,0,223.0
8507768,Manhattan,40.76806,-73.955,Private room,70,30,42,0.47,1,0,144.0
8511404,Manhattan,40.71414,-73.98997,Private room,110,30,76,0.85,1,88,136.0
8620134,Manhattan,40.76972,-73.95336,Entire home/apt,136,5,111,1.23,2,8,144.0
8621113,Manhattan,40.71732,-73.98935,Entire home/apt,120,30,2,0.02,1,0,136.0
8664615,Queens,40.76707,-73.91397,Entire home/apt,75,30,1,0.01,1,0,223.0
8622301,Queens,40.76975,-73.91937,Private room,136,2,398,4.4,1,223,201.0
8665047,Manhattan,40.73138,-73.98749,Entire home/apt,297,30,9,0.11,3,0,156.0
8667280,Brooklyn,40.66639,-73.99307,Entire home/apt,190,30,146,1.62,1,93,109.0
8623370,Queens,40.71869,-73.75395,Entire home/apt,101,4,87,0.97,1,365,251.0
8513839,Brooklyn,40.71172,-73.95723,Entire home/apt,130,30,2,0.02,2,0,98.0
8668115,Brooklyn,40.67042,-73.94839,Private room,50,500,10,0.11,1,364,83.0
8670999,Manhattan,40.73024,-73.97861,Entire home/apt,800,3,6,0.89,5,330,160.0
8627561,Brooklyn,40.67726,-74.00015,Entire home/apt,150,5,198,2.19,1,23,105.0
8627973,Queens,40.74066,-73.87758,Private room,40,30,5,0.11,207,0,202.0
8628425,Brooklyn,40.67601,-73.98216,Private room,41,2,58,0.64,2,171,109.0
8672280,Manhattan,40.75651,-73.968,Entire home/apt,160,7,15,0.17,1,0,139.0
8673141,Bronx,40.82424,-73.91316,Entire home/apt,225,30,0,0.0,1,0,41.0
8630560,Manhattan,40.78541,-73.97589,Entire home/apt,220,30,8,0.09,2,0,124.0
8630853,Manhattan,40.72979,-73.98905,Entire home/apt,160,30,0,0.0,1,0,156.0
8631355,Brooklyn,40.67749,-73.95207,Private room,80,30,2,0.02,1,0,83.0
8518051,Bronx,40.81767,-73.86303,Entire home/apt,100,30,70,0.77,1,364,33.0
8518280,Brooklyn,40.71426,-73.95714,Entire home/apt,150,30,6,0.07,1,0,98.0
8518878,Brooklyn,40.6984,-73.93687,Entire home/apt,125,30,1,0.01,1,0,98.0
8676240,Manhattan,40.83404,-73.94251,Entire home/apt,45,30,1,0.01,1,0,135.0
8520667,Brooklyn,40.68442,-73.91434,Private room,53,30,2,0.03,28,309,81.0
8680417,Manhattan,40.83547,-73.94659,Entire home/apt,200,30,3,0.04,2,0,129.0
8681776,Queens,40.77521,-73.91635,Private room,75,30,4,0.05,1,0,181.0
8634024,Brooklyn,40.70645,-73.94433,Private room,110,30,1,0.01,1,0,98.0
8683858,Queens,40.74582,-73.83153,Private room,68,1,68,0.75,5,77,232.0
8635363,Manhattan,40.76616,-73.95855,Entire home/apt,150,30,2,0.02,1,0,142.0
8636811,Manhattan,40.80428,-73.95605,Private room,80,30,1,0.01,1,0,150.0
8642428,Manhattan,40.72926,-73.98419,Entire home/apt,160,30,8,0.09,1,0,156.0
8642982,Brooklyn,40.68213,-73.91069,Private room,39,30,87,0.96,1,0,81.0
8816022,Brooklyn,40.64878,-73.91918,Entire home/apt,282,2,60,0.72,1,270,58.0
8816465,Brooklyn,40.68483,-73.93206,Entire home/apt,135,28,33,0.37,1,273,108.0
8684886,Brooklyn,40.66778,-73.98582,Entire home/apt,250,14,198,2.2,1,237,109.0
8685857,Brooklyn,40.66898,-73.95272,Private room,80,30,1,0.01,1,0,83.0
8823472,Brooklyn,40.65685,-73.95688,Entire home/apt,60,30,0,0.0,1,0,57.0
8643939,Manhattan,40.78217,-73.95223,Private room,94,30,1,0.01,1,0,145.0
8645186,Manhattan,40.74919,-73.97108,Entire home/apt,125,30,0,0.0,1,0,138.0
8686040,Manhattan,40.85999,-73.9285,Entire home/apt,125,30,6,0.07,1,0,120.0
8686167,Queens,40.7444,-73.92585,Entire home/apt,75,30,14,0.16,1,0,198.0
8825297,Manhattan,40.80812,-73.93879,Entire home/apt,184,2,121,1.46,1,1,154.0
8687096,Brooklyn,40.6873,-73.95407,Private room,69,30,10,0.11,1,0,108.0
8646618,Queens,40.7574,-73.92613,Private room,73,1,520,5.79,5,11,318.0
8687556,Brooklyn,40.64317,-73.97358,Entire home/apt,99,30,80,0.97,1,139,65.0
8689608,Manhattan,40.8062,-73.94672,Private room,55,30,149,1.66,2,0,151.0
8826833,Manhattan,40.76765,-73.95481,Entire home/apt,200,2,5,0.06,1,0,144.0
8829421,Manhattan,40.72159,-73.99234,Entire home/apt,699,30,0,0.0,1,0,147.0
8830825,Brooklyn,40.66137,-73.94181,Private room,70,7,108,1.2,4,169,67.0
8703355,Manhattan,40.74345,-73.98187,Entire home/apt,200,30,9,0.1,1,0,162.0
8831792,Queens,40.70922,-73.90278,Entire home/apt,132,2,0,0.0,1,0,210.0
8648818,Queens,40.75782,-73.92262,Private room,75,30,2,0.04,2,0,318.0
8703711,Brooklyn,40.66177,-73.94156,Entire home/apt,110,7,173,1.92,4,180,67.0
8651132,Brooklyn,40.67619,-73.92372,Private room,35,30,26,0.29,3,57,108.0
8704528,Brooklyn,40.67689,-74.01459,Private room,60,1,352,3.94,2,160,105.0
8653449,Queens,40.74689,-73.88779,Private room,45,30,1,0.01,1,0,202.0
8653999,Manhattan,40.78349,-73.97291,Entire home/apt,180,30,2,0.02,1,0,124.0
8709068,Manhattan,40.79513,-73.96675,Entire home/apt,450,30,0,0.0,1,365,133.0
8837432,Manhattan,40.76173,-73.99157,Entire home/apt,275,3,8,0.09,1,0,137.0
8662610,Brooklyn,40.69661,-73.94476,Private room,25,2,1,0.01,1,0,98.0
8709326,Manhattan,40.76472,-73.95722,Private room,141,30,2,0.02,1,0,143.0
8712309,Brooklyn,40.69611,-73.93356,Private room,91,4,148,1.65,4,45,108.0
8967396,Bronx,40.80857,-73.85073,Entire home/apt,96,30,5,0.3,2,249,42.0
8838341,Manhattan,40.78634,-73.97019,Entire home/apt,175,30,0,0.0,1,0,124.0
8838513,Brooklyn,40.70058,-73.94405,Private room,35,1,10,0.13,1,0,98.0
8712745,Manhattan,40.80072,-73.96052,Private room,107,30,0,0.0,1,0,133.0
8719948,Manhattan,40.71986,-73.99567,Private room,70,3,13,0.14,1,0,147.0
8838861,Manhattan,40.79079,-73.96583,Entire home/apt,225,30,2,0.02,1,0,124.0
8971258,Brooklyn,40.64472,-73.91109,Entire home/apt,185,30,40,0.51,1,0,95.0
8719984,Manhattan,40.74279,-73.97833,Entire home/apt,75,30,4,0.05,1,0,161.0
8972219,Manhattan,40.72138,-73.98005,Entire home/apt,130,30,4,0.05,1,0,156.0
8840959,Brooklyn,40.67998,-73.95783,Entire home/apt,85,30,1,0.01,1,0,107.0
8720070,Manhattan,40.73601,-73.98534,Entire home/apt,155,30,17,0.19,1,0,159.0
8720655,Manhattan,40.77249,-73.94844,Entire home/apt,65,3,61,0.68,1,0,144.0
8973075,Manhattan,40.75704,-73.97036,Private room,134,30,13,0.15,2,0,139.0
8973292,Manhattan,40.77636,-73.94855,Entire home/apt,295,30,0,0.0,1,0,144.0
8973682,Manhattan,40.80147,-73.96109,Private room,104,30,1,0.01,2,0,127.0
8973873,Brooklyn,40.68888,-73.96405,Entire home/apt,108,30,112,1.28,1,24,80.0
8720923,Manhattan,40.7208,-73.9841,Private room,95,4,65,0.74,1,0,156.0
8722224,Brooklyn,40.66153,-73.94887,Entire home/apt,50,30,1,0.01,1,0,67.0
8974121,Manhattan,40.75619,-73.96675,Entire home/apt,179,30,1,0.01,1,0,139.0
8841107,Brooklyn,40.67092,-73.98431,Entire home/apt,135,30,0,0.0,1,0,82.0
8841646,Manhattan,40.79134,-73.94483,Entire home/apt,131,30,2,0.02,1,0,148.0
8729960,Manhattan,40.79839,-73.94061,Private room,62,5,62,0.69,2,17,148.0
8842752,Brooklyn,40.70752,-73.94409,Entire home/apt,100,30,2,0.02,1,0,98.0
8730247,Brooklyn,40.69115,-73.9721,Private room,85,5,18,0.47,1,345,103.0
8975190,Brooklyn,40.5973,-73.96166,Entire home/apt,76,15,205,2.47,1,150,74.0
8731224,Manhattan,40.72784,-73.98908,Entire home/apt,200,1,1,0.01,1,0,156.0
8984085,Brooklyn,40.67712,-73.93297,Private room,60,3,24,0.27,1,0,108.0
8843403,Brooklyn,40.68719,-73.9439,Private room,50,30,4,0.04,1,0,108.0
8734174,Manhattan,40.80658,-73.94933,Entire home/apt,100,30,131,1.46,2,0,151.0
8735236,Brooklyn,40.68649,-73.98507,Private room,65,30,37,0.41,1,0,106.0
8736934,Brooklyn,40.65315,-73.95538,Private room,60,30,0,0.0,5,0,57.0
8844402,Queens,40.76691,-73.91758,Private room,67,7,148,1.65,3,4,223.0
8985316,Manhattan,40.76169,-73.96269,Entire home/apt,250,90,28,0.39,1,0,142.0
8986308,Brooklyn,40.66864,-73.99484,Private room,155,30,0,0.0,1,0,109.0
8986585,Brooklyn,40.71216,-73.94837,Entire home/apt,275,30,51,0.57,1,0,98.0
8845002,Manhattan,40.74334,-74.004,Entire home/apt,250,30,1,0.01,1,0,158.0
8845982,Manhattan,40.79397,-73.94276,Entire home/apt,125,30,8,0.09,1,0,146.0
8847200,Brooklyn,40.64426,-73.95806,Private room,50,30,9,0.1,1,0,59.0
8737991,Brooklyn,40.70076,-73.92828,Private room,150,30,0,0.0,1,0,104.0
8738438,Manhattan,40.8091,-73.94219,Entire home/apt,650,30,1,0.01,1,0,154.0
8849684,Brooklyn,40.68286,-73.96004,Entire home/apt,80,31,68,0.76,1,365,107.0
8989320,Manhattan,40.80279,-73.94605,Entire home/apt,150,3,318,3.55,1,102,151.0
